panel,method,m,kappa,n,seed,iter_outer,nfev,ngev,nhev,ntot,converged,gnorm_final,cpu_s
B,LBFGS-10,10,10000.0,50,10,1000,3291,3354,0,6645,False,1.0239e-05,0.161899
B,LBFGS-20,20,10000.0,50,10,1000,6257,5905,0,12162,False,7.9852e-06,0.37313
B,LBFGS-5,5,10000.0,50,11,1000,3331,3353,0,6684,False,1.21619e-05,0.194712
B,LBFGS-10,10,10000.0,50,11,1000,6317,5918,0,12235,False,1.84041e-05,0.278541
B,LBFGS-20,20,10000.0,50,11,1000,6784,6286,0,13070,False,9.952e-06,0.352537
B,LBFGS-5,5,10000.0,50,12,1000,3213,3358,0,6571,False,1.36282e-05,0.117464
B,LBFGS-10,10,10000.0,50,12,1000,3362,3434,0,6796,False,9.2553e-06,0.243371
B,LBFGS-20,20,10000.0,50,12,1000,3175,3200,0,6375,False,9.6473e-06,5.125623
B,LBFGS-5,5,10000.0,50,13,1000,5388,5171,0,10559,False,1.02555e-05,2.176156
B,LBFGS-10,10,10000.0,50,13,1000,6092,5716,0,11808,False,1.45831e-05,0.964074
B,LBFGS-20,20,10000.0,50,13,1000,3491,3577,0,7068,False,5.0755e-06,0.685129
B,LBFGS-5,5,10000.0,50,14,1000,4502,4520,0,9022,False,1.08728e-05,0.392297
B,LBFGS-10,10,10000.0,50,14,1000,6147,5836,0,11983,False,1.14631e-05,0.506161
B,LBFGS-20,20,10000.0,50,14,1000,5659,5389,0,11048,False,4.6596e-06,0.838922
B,LBFGS-5,5,10000.0,50,15,1000,6155,5847,0,12002,False,1.18319e-05,0.345759
B,LBFGS-10,10,10000.0,50,15,1000,5506,5336,0,10842,False,1.13162e-05,0.434371
B,LBFGS-20,20,10000.0,50,15,1000,7202,6703,0,13905,False,1.11685e-05,0.696923
B,LBFGS-5,5,10000.0,50,16,1000,3754,3840,0,7594,False,1.28913e-05,0.263504
B,LBFGS-10,10,10000.0,50,16,1000,3785,3873,0,7658,False,5.5855e-06,0.398363
B,LBFGS-20,20,10000.0,50,16,1000,3249,3336,0,6585,False,5.1076e-06,0.573267
B,LBFGS-5,5,10000.0,50,17,1000,3400,3561,0,6961,False,8.5312e-06,0.249861
B,LBFGS-10,10,10000.0,50,17,1000,3352,3382,0,6734,False,7.7315e-06,0.353483
B,LBFGS-20,20,10000.0,50,17,1000,6439,5999,0,12438,False,6.9557e-06,0.66444
B,LBFGS-5,5,10000.0,50,18,1000,3135,3251,0,6386,False,1.32125e-05,0.239949
B,LBFGS-10,10,10000.0,50,18,1000,6130,5718,0,11848,False,1.0822e-05,0.430585
B,LBFGS-20,20,10000.0,50,18,1000,3089,3149,0,6238,False,6.6171e-06,0.554793
B,LBFGS-5,5,10000.0,50,19,1000,5949,5588,0,11537,False,2.33555e-05,0.311911
B,LBFGS-10,10,10000.0,50,19,1000,3297,3360,0,6657,False,9.5469e-06,0.35311
B,LBFGS-20,20,10000.0,50,19,1000,3612,4225,0,7837,False,9.6686e-06,0.612399
B,LBFGS-5,5,10000.0,100,0,1000,3317,3370,0,6687,False,1.18713e-05,0.275665
B,LBFGS-10,10,10000.0,100,0,1000,5638,5363,0,11001,False,1.13027e-05,0.457416
B,LBFGS-20,20,10000.0,100,0,1000,6202,5775,0,11977,False,2.0846e-05,0.700747
B,LBFGS-5,5,10000.0,100,1,1000,5489,5189,0,10678,False,1.59309e-05,0.326153
B,LBFGS-10,10,10000.0,100,1,1000,5649,5302,0,10951,False,1.43861e-05,0.455829
B,LBFGS-20,20,10000.0,100,1,1000,5687,5376,0,11063,False,1.13764e-05,0.672288
B,LBFGS-5,5,10000.0,100,2,1000,5597,5397,0,10994,False,1.49844e-05,0.34898
B,LBFGS-10,10,10000.0,100,2,1000,3419,3557,0,6976,False,1.42155e-05,0.509444
B,LBFGS-20,20,10000.0,100,2,1000,6125,5783,0,11908,False,1.22402e-05,0.747893
B,LBFGS-5,5,10000.0,100,3,1000,5263,5042,0,10305,False,1.18034e-05,0.330083
B,LBFGS-10,10,10000.0,100,3,1000,3330,3441,0,6771,False,1.02394e-05,0.376884
B,LBFGS-20,20,10000.0,100,3,1000,5579,5290,0,10869,False,9.9455e-06,0.681955
B,LBFGS-5,5,10000.0,100,4,1000,5332,5170,0,10502,False,1.32788e-05,0.327078
B,LBFGS-10,10,10000.0,100,4,1000,3371,3429,0,6800,False,1.09391e-05,0.371659
B,LBFGS-20,20,10000.0,100,4,1000,3470,3584,0,7054,False,5.405e-06,0.590626
B,LBFGS-5,5,10000.0,100,5,1000,3322,3352,0,6674,False,1.17819e-05,0.258652
B,LBFGS-10,10,10000.0,100,5,1000,5236,5146,0,10382,False,1.49595e-05,0.435572
B,LBFGS-20,20,10000.0,100,5,1000,6094,5786,0,11880,False,1.06808e-05,0.745006
B,LBFGS-5,5,10000.0,100,6,1000,5566,5259,0,10825,False,1.24624e-05,0.347304
B,LBFGS-10,10,10000.0,100,6,1000,3218,3330,0,6548,False,8.6863e-06,0.41363
B,LBFGS-20,20,10000.0,100,6,1000,3621,3798,0,7419,False,5.5935e-06,0.596629
B,LBFGS-5,5,10000.0,100,7,1000,5471,5250,0,10721,False,1.61353e-05,0.333857
B,LBFGS-10,10,10000.0,100,7,1000,3429,3482,0,6911,False,1.40118e-05,0.379004
B,LBFGS-20,20,10000.0,100,7,1000,3206,3257,0,6463,False,1.5266e-05,0.578634
B,LBFGS-5,5,10000.0,100,8,1000,5416,5214,0,10630,False,1.43352e-05,0.325543
B,LBFGS-10,10,10000.0,100,8,1000,5572,5299,0,10871,False,1.02803e-05,0.440965
B,LBFGS-20,20,10000.0,100,8,1000,5857,5513,0,11370,False,1.28054e-05,0.683834
B,LBFGS-5,5,10000.0,100,9,1000,5558,5426,0,10984,False,1.92948e-05,0.329363
B,LBFGS-10,10,10000.0,100,9,1000,5840,5531,0,11371,False,2.02429e-05,0.455164
B,LBFGS-20,20,10000.0,100,9,1000,5831,5487,0,11318,False,1.01104e-05,0.713972
B,LBFGS-5,5,10000.0,100,10,1000,3194,3341,0,6535,False,1.27969e-05,0.285514
B,LBFGS-10,10,10000.0,100,10,1000,5469,5211,0,10680,False,1.65518e-05,0.443103
B,LBFGS-20,20,10000.0,100,10,1000,6083,5704,0,11787,False,1.25997e-05,0.712568
B,LBFGS-5,5,10000.0,100,11,1000,3306,3360,0,6666,False,1.15389e-05,0.265739
B,LBFGS-10,10,10000.0,100,11,1000,5936,5548,0,11484,False,2.3686e-05,0.454473
B,LBFGS-20,20,10000.0,100,11,1000,6099,5679,0,11778,False,1.26322e-05,0.672202
B,LBFGS-5,5,10000.0,100,12,1000,5176,4980,0,10156,False,2.01831e-05,0.318325
B,LBFGS-10,10,10000.0,100,12,1000,5816,5511,0,11327,False,1.85564e-05,0.470842
B,LBFGS-20,20,10000.0,100,12,1000,3121,3174,0,6295,False,9.6899e-06,0.603907
B,LBFGS-5,5,10000.0,100,13,1000,3378,3519,0,6897,False,8.5039e-06,0.262987
B,LBFGS-10,10,10000.0,100,13,1000,5460,5179,0,10639,False,1.23406e-05,0.43189
B,LBFGS-20,20,10000.0,100,13,1000,6024,5654,0,11678,False,1.16087e-05,0.670055
B,LBFGS-5,5,10000.0,100,14,1000,5213,5134,0,10347,False,1.23815e-05,0.352356
B,LBFGS-10,10,10000.0,100,14,1000,5581,5277,0,10858,False,1.41065e-05,0.470917
B,LBFGS-20,20,10000.0,100,14,1000,3063,3113,0,6176,False,1.11828e-05,0.609329
B,LBFGS-5,5,10000.0,100,15,1000,5542,5237,0,10779,False,1.84857e-05,0.343315
